"Berufliche Bildung Bremerhaven,""Frau, Schule und Beruf - Coaching für einen",,,,,
"Schulabschluss und Entwicklung einer Berufsperspektive"",2010,2014,""596.009,99"",",,,,,
"Berufliche Bildung Bremerhaven,Frau und Schule und Beruf,2008,2010,,""182.374,76""",,,,,
"Berufliche Bildung Bremerhaven,BerEB-Ink - Berufseinstiegsbegleitung mit Inklusionsansatz,2013,2014,""49.645,42"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),FAMakqua,2008,2009,,""118.818,83""",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Kunststoffzentrum Bremerhaven- Beschäftigte,2008,2011,""55.940,71"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),SIBS-NELE,2008,2011,""902.544,25"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),""TSCHOB II - Training von Schlüsselqualifikationen als EDV-",,,,,
einzelcoaching-on-the-job für Bremer Beschäftigte 48+ in,,,,,
"KMU"",2008,2010,""259.682,34"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),""Chance III Vorqualifizierung in handwerklichen Berufen in",,,,,
"der JVA"",2009,2010,,""57.912,11""",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Prima Klima (BQ),2008,2010,,""90.910,56""",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Prima Klima (BBQ),2008,2011,""315.053,85"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Kunststoffzentrum Bremerhaven-Arbeitslose,2008,2011,""2.053.039,15"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Service-Techniker-Wind 2008-2010   -STW- Beschäftigte,2008,2011,""382.700,71"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Service-Techniker-Wind 2008-2010  -STW- Arbeitslose,2008,2011,""2.827.213,93"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Chance IV - EDV Bremerhaven,2011,2014,""312.484,88"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),CHANCE III EDV HB und Brhv (Männer und Frauen),2008,2010,,""368.750,08""",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),A-PAMI,2008,2010,,""179.353,56""",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),SIBS aktiv,2011,2014,""1.497.060,99"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Service Technik Wind 2011-2013/14,2011,2014,""1.270.568,30"",",,,,,
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw),Service Technik Wind 2011-2013/14,2011,2014,""509.185,72"",",,,,,
"Bestform-Coaching
Angela von Düszeln,Ferienintensivkurs,2012,2012,,""1.189,62""",,,,,
"BIBA
Bremer Institut f. Betriebstechnik u. angew.
Arbeitswissenschaft,""Robotik in der Logistik - zielgruppenspezifische",,,,,
Weiterbildung für Fachkräfte und entscheidungsträgerInnen,,,,,
"(RobidLOG)"",2013,2014,""308.602,86"",",,,,,
"Bildung für eine Welt e.V.,Ich spreche Deutsch,2013,2014,""9.996,00"",",,,,,
"Bildung für eine Welt e.V.,Interkulturelle Begegnungen mit Sprachförderung,2010,2010,,""9.874,93""",,,,,
"Bildung für eine Welt e.V.,Auf Deutsch bitte!,2012,2013,,""9.998,60""",,,,,
"Bildung für eine Welt e.V.,Deutsch im Beruf,2008,2009,,""10.000,00""",,,,,
"Bildung für eine Welt e.V.,Fremde Sprache Deutsch,2011,2012,,""10.000,00""",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Diversity in der Polizei,2008,2009,,""49.959,70""",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,B-Exam - Bremer Ausbildungsbüro (Exam 2009),2009,2009,,""38.452,80""",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,girls4technic,2012,2014,""257.435,94"",",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Ausbildungsbüro,2012,2014,""292.464,42"",",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Perspektive Ausbildung II,2010,2011,""92.845,38"",",,,,,
"Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,B-AiBB - PLUS,2008,2012,""687.611,46"",",,,,,
"Blaue Karawane e.V.,""MAE. Blaue Karawane e. V., """"Integration vier"""", geförderte",,,,,
"Beschäftigung ab 02/2013"",2013,2014,""111.792,00"",",,,,,
"Blaue Karawane e.V.,""MAE. Blaue Karawane e. V., """"Integration - kreativ 2"""" ein",,,,,
"Projekt der Blauen Karawane, geförderte Beschäftigung"",2011,2013,""295.840,00"",",,,,,
"Blaue Karawane e.V.,Wohnen-Leben-Arbeiten in der Überseestadt,2008,2009,,""7.278,88""",,,,,
"bras e. V. - arbeiten für bremen,MOP HASA Walle,2012,2014,""76.703,34"",",,,,,
"bras e. V. - arbeiten für bremen,""Bremen produktiv - integrativ BRAS / Bremer Geschichte",,,,,
"(integrativ)"",2008,2010,,""115.857,82""",,,,,
"bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Bremer Geschichte,2008,2010,,""5.520.754,19""",,,,,
"bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Tenever,2008,2010,,""1.171.277,17""",,,,,
"bras e. V. - arbeiten für bremen,""Bremen produktiv - integrativ BRAS / Miteinander in",,,,,
"Huchting"",2008,2010,,""1.095.793,66""",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF BRAS U65R11 Netzwerk Ost (Tenever, Vahr,",,,,,
Blockdiek)," geförderte Beschäftigung"",2011,2011,,""101.265,47""",,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF BRAS U65R11 Netzwerk Nord (Marßel) 30 TN,",,,,,
"277,-- € Pauschale, geförderte Beschäftigung"",2011,2011,,""51.197,93""",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF BRAS U65T11 Netzwerk Sprache", geförderte,,,,
"Beschäftigung"",2011,2011,,""25.398,37""",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF BRAS U65R11 Netzwerk Süd (HAI), geförderte",,,,,
"Beschäftigung"",2011,2011,,""161.663,09""",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF BRAS U65T11 Netzwerk Bildung", geförderte,,,,
"Beschäftigung"",2011,2011,,""92.812,93""",,,,,
"bras e. V. - arbeiten für bremen,""SVB.Q. bras e. V., """"bras in Tenever"""", geförderte",,,,,
"Beschäftigung"",2011,2012,,""347.585,06""",,,,,
"bras e. V. - arbeiten für bremen,""MAE. bras e. V., """"Bremer Geschichte - Integration von",,,,,
"psychisch beeingträchtigten Menschen"""", geförderte",,,,,
"Beschäftigung"",2011,2013,""347.207,12"",",,,,,
"bras e. V. - arbeiten für bremen,""SVB.O. bras e. V., """"Bremer Geschichte - live dabei!"""",",,,,,
"geförderte Beschäftigung"",2011,2012,,""611.646,03""",,,,,
"bras e. V. - arbeiten für bremen,""SVB.Q. bras e. V., """"bras in Huchting- Klönhof/Hermine"""",",,,,,
"geförderte Beschäftigung"",2011,2012,""291.558,12"",",,,,,
"bras e. V. - arbeiten für bremen,""SVB.V. bras e. V., """"Netzwerk Hai -",,,,,
"sozialversicherungspflichtige Beschäftigung"""", geförderte",,,,,
"Beschäftigung"",2011,2012,,""343.680,24""",,,,,
"bras e. V. - arbeiten für bremen,""SVB.V. bras e. V., """"Netzwerk Tenever/Vahr/Ellenerbrok-",,,,,
Schevemoor - sozialversicherungspflichtige,,,,,
"Beschäftigung"""", geförderte Beschäftigung"",2011,2012,,""420.242,96""",,,,,
"bras e. V. - arbeiten für bremen,MiLo bras FAV,2012,2013,""10.764,53"",",,,,,
"bras e. V. - arbeiten für bremen,""MAE. bras e. V., """"Bremer Geschichte""""", geförderte,,,,
"Beschäftigung ab 02/2013"",2013,2014,""139.740,00"",",,,,,
"bras e. V. - arbeiten für bremen,""MAE.U65R bras e. V., """"Regionales Netzwerk - Netzwerk",,,,,
"Huchtinger Arbeitsinitiative""""", geförderte Beschäftigung ab,,,,
"02/2013"",2013,2014,""803.403,00"",",,,,,
"bras e. V. - arbeiten für bremen,Jugend Informations- und Beratungsstelle Bremen Nord,2008,2010,,""216.710,00""",,,,,
"bras e. V. - arbeiten für bremen,""MAE.U65R bras e. V., """"Regionales Netzwerk - Netzwerk",,,,,
"Tenever"""""," geförderte Beschäftigung ab 02/2013"",2013,2014,""559.674,00"",",,,,
"bras e. V. - arbeiten für bremen,""MAE.U65R bras e. V., """"Regionales Netzwerk - Netzwerk",,,,,
"Marßel"""""," geförderte Beschäftigung ab 02/2013"",2013,2014,""335.416,27"",",,,,
"bras e. V. - arbeiten für bremen,""SVB.O. bras e.V, """"Holz Walle"""", geförderte Beschäftigung",,,,,
"ab 06/2013"",2013,2014,""151.351,40"",",,,,,
"bras e. V. - arbeiten für bremen,""SVB.O. bras e.V., """"GaLa FAV"""", geförderte Beschäftigung",,,,,
"ab 06/2013"",2013,2014,""67.262,00"",",,,,,
"bras e. V. - arbeiten für bremen,""FOR. SVB.O. bras. e. V., """"Bremer Geschichte - live",,,,,
"dabei!"""", geförderte Beschäftigung ab 04/2012"",2012,2014,""758.816,00"",",,,,,
"bras e. V. - arbeiten für bremen,""FOR. SVB.V. bras e. V., """"Neztwerk Hai -",,,,,
"sozialversicherungspflichtige Beschäftigung"""", geförderte",,,,,
"Beschäftigung ab 04/2012"",2012,2014,""60.532,03"",",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF MAE.U65R. bras e. V., """"Regionales Netzwerk",,,,,
"Süd (HAI)"""", geförderte Beschäftigung ab 26.03.2012"",2012,2012,""136.892,00"",",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF MAE.U65R bras e. V., """"Regionales Netzwerk",,,,,
"Nord (Marßel)"""", geförderte Beschäftigung ab 26.03.2012"",2012,2012,""48.890,00"",",,,,,
"bras e. V. - arbeiten für bremen,""Injobs-ESF MAE.U65R bras e. V., """"Regionales Netzwerk",,,,,
"Ost (Tenever, Vahr, Blockdiek)"""", geförderte Beschäftigung",,,,,
