"Projektitel / Operation name";"Startdato / Operation start date";"Slutdato / Operation end date";"Prioritetsakse / Priority axis";"Budget / Budget";"EU-medfinansiering / Union co-financing";"EU-medfinansieringssats / Union co-financing rate";"Projektbeskrivelse";"Fond / Fund";"Region / Region";"Land / Country";"Kontraktansvarlig partner / Beneficiary name";"Vejnavn / Street name";"Postnr / Operation postcode";"Bynavn / City name";"Koordinat east / Coordinates east";"Koordinat north / Coordinates north";"Kontaktperson / Contacts";"Partere / Project partners"
"Nordjyske NewBizz";"29.06.2015";"31.12.2018";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"12.797.586";"6.398.793";"50%";"Formålet med dette projekt er at give iværksætterne et grundlag for at udvikle deres virksomheder og dermed styrke deres evne til at overleve og skabe nye jobs.Projektet har endvidere til formål at fastholde og styrke den koordinerede indsats i Nordjylland, samt supplere indsatsen med yderligere tiltag dels for at sikre, at der er et ensartet tilbud i hele Nordjylland uafhængig af kommunegrænser og dels for at sikre, at flere potentielle vækstiværksættere får udviklet deres virksomhed i denne retning. Samlet set skal dette lede frem til, at flere iværksættere er i stand til at indfri sit vækstpotentiale og udvikle sig til vækstvirksomheder.Projektets målgruppe består af iværksættere, der for nyligt har etableret egen virksomhed. For at kunne deltage i projektet skal virksomheden påvise, at have mindst én fuldtidsansat udover sig selv, have et tydeligt og skalerbart potentiale til at vokse og have realiseret ca. 1 mio. kr. i omsætning pr. år.Projektet er en del af det samlede NewBizz projekt i Region NordjyllandProjekter har en samlet hovedaktivitet: Ekspansionsfasen.I Ekspansionsfasen modtager virksomhederne op til 25 timers sparring og vejledning hos deres personlige vækstguide samt ekstern rådgivning for op til 50.000 kr. Endelig har de mulighed for at deltage i en eller flere af de faglige camps, der udbydes fra Væksthuset. 
Output og effekter:162 iværksættere rekrutteres i alt til projektet32 nye vækstvirksomheder405 nye jobs, hvoraf 182 kan tilskrives deltagelse i NewBizz projektet222.750.000 kr. i øget omsætning
";"R";"Nordjylland";"Denmark";"Væksthus Nordjylland";"Niels Jernes Vej 10";"9220";"Aalborg Øst";"560016.186";"6319238.093";"Jane Ribergaard Holm,25 38 22 41,jrh@vhnordjylland.dk";""
"Vækstprogram for små og mellemstore produktionsvirksomheder";"01.09.2015";"31.10.2018";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"48.404.700";"23.499.700";"49%";"Det landsdækkende vækstprogram for små og mellemstore produktionsvirksomhederskal gennemføres i en treårig periode. Projektet sigter mod, at styrke produktiviteten ogkonkurrenceevnen i de deltagende produktionsvirksomheder.Aktiviteterne i nærværende ansøgning; dækkende region Nordjylland, Syddanmark,Hovedstadsregionen og Midtjylland, vil være:Væksttjek: Der skal gennemføres 890 væksttjek.Væksttjekket vil have fokus på at gøre virksomhedens vækstambition konkret og eksplicit, samtidentificere hvilke områder virksomheden skal fokusere på. Herved får virksomheden gennemet væksttjek en kvalificeret dialog, som sætter fokus på udviklingsbehov og vækstbarrierer.Væksttjekket er en dialogbaseret analyse med virksomhedens ledelse, som skal resultere iat virksomheden får udarbejdet en handlingsplan, som adressere en strategisk prioritering afforskellige initiativer for at forbedre virksomhedens konkurrenceevne, produktivitet og øgemulighederne for at realisere vækstpotentialet.Output af væksttjek vil være en handlingsplan der beskriver vækstpotentialer og udfordringer,som væsentlige elementer i virksomhedens udviklings- og vækststrategi. Det faglige udbytte afvæksttjekket vil være forskelligt fra virksomhed til virksomhed, men fælles er, at der udvikles enhandlingsplan, som indeholder en strategisk prioritering af fremtidige initiativer som kan styrkevirksomhedens produktivitet og konkurrenceevne og understøtte udvikling og vækst de næste 3-5 år.Vækstløft: Der skal gennemføres 445 vækstløft.Vækstløft er et individuel forløb, som har til formål at hjælpe virksomheden med at realiserehandlingsplanen udarbejdet af væksttjek konsulenten.Output af vøkstløftetvil være at der over en periode gives konkret individuel rådgivning til,hvordan virksomheden realiserer sit vækstpotentiale. Her fokuserer rådgivningen på de emnereller dele heraf, som handlingsplanen fra Væksttjekket indeholder.Der forventes ikke skabt nye vækstvirksomheder i programperioden. I perioden 2 til 5 år efterefter programperioden forventes skabt 32 vækstvirksomheder.
";"R";"National pulje";"Denmark";"Væksthus Midtjylland";"Åbogade 15";"8200";"Århus N";"573736.19";"6225873.52";"Anne Kjær Vodder,40681360,akv@vhmidtjylland.dk";""
"Laundry Water Recycling";"01.04.2016";"01.11.2017";"1 Styrket innovation i SMVer.
Innovation og videndeling";"2.301.000";"1.035.450";"45%";"Victor Vask A/S ønsker at udvikle og teste en prototype på et anlæg, der kan genbruge vaskerivandet i vaskerier, og som kan sælges til vandforbrugende virksomheder worldwide.
Der skal udvikles og testes et fuldskala systemkoncept, der skal sikre og dokumentere en stor genanvendelse af vand, uden at det går ud over virksomhedens produkter.Projektet forventes at føre til større lønsomhed, større omsætning og jobskabelse hos Victor Vask A/S. Derudover forventes projektet at føre til en vandbesparelse på 50%, mindre spildevandsudledning samt besparelser på forbrug af el og kemikalier.
";"R";"Bornholm";"Denmark";"Victor-Vask A/S";"Sandemandsvej 5";"3700";"Rønne";"";"";"Kenn Ivan Kjellberg,40300599,kk@victorvask.dk";""
"Globale VækstKompetencer";"03.03.2015";"30.09.2019";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"23.137.765";"11.568.882";"50%";"Projektet Globale VækstKompetencer arbejder med internationalisering i syddanske virksomheder. Gennem 4 år vækster 150 små og mellemstore virksomheder på globale kompetencer. Fokus er på internationalisering og forretningsudvikling for at sikre øget vækstskabelse, omsætning og eksport i virksomhederne. Kompetenceudviklende aktiviteter gennemføres med udgangspunkt i virksomhedens vækst- og uddannelsesplan og veluddannede ressourcer matches med virksomhederne ud fra konkrete internationaliseringsopgaver.
Projektet henvender sig til små og mellemstore virksomheder på tværs af regionens prioriterede forretningsområder nystartere såvel som eksportvante. 
Virksomhederne tilbydes følgende:- Afdækning af virksomhedens behov for udvikling indenfor internationalisering og forretningsudvikling.Udgangspunktet er egen eksisterende vækstplan og internationaliseringsambition. Løbende og håndholdt opfølgning på kvalitet og udbytte.- Tilrettelæggelse af virksomhedsspecifikke kompetenceudviklende aktiviteter med internationaliseringsperspektiv for ledelse og medarbejdere.- Mulighed for længerevarende tilførsel af højtuddannede ressourcer til konkrete udviklingsopgaver i virksomhederne.- Netværksopbygning og faciliterede forløb for eksportvante og nystartede virksomheder.
Internationalisering og globale vækstkompetencer er omdrejningspunktet i indsatsen. Kompetente medarbejder og globalt orienterede ledere skaber øget vækst og eksport i virksomhederne. Styrkede kompetencer genererer øget omsætning. Veluddannede ressourcetilførsel booster virksomhedens vækstpotentiale og medfører øget omsætning og jobskabelse. Det er disse effekter projekt Globale VækstKompetencer realiserer.
Virksomhederne følges tæt af projektkonsulenter for at sikre maksimal resultat og effektskabelse og sikre en planlægning, der hænger sammen med virksomhedens driftsfokus.
";"S";"Syddanmark";"Denmark";"TietgenSkolen";"Ejlskovsgade 3";"5000";"Odense C";"587743.59";"6140636.91";"Kim Tværgaard Larsen,,kila@tietgen.dk";"Professionshøjskolen University College Syddanmark.
Professionshøjskolen Lillebælt/University College Lillebælt.
Erhvervsakademi SydVest.
Erhvervsakademiet Lillebælt"
"SUNDiværk - for studerende";"03.03.2015";"30.06.2019";"1 Iværksætteri og jobskabelse.
Iværksætteri";"5.180.768";"2.590.384";"50%";"Formålet med projekt SUNDiværk - for studerende er at styrke undervisning i iværksætteri for studerende ved professionshøjskolernes sundhedsuddannelser. I projektet udvikles og implementeres undervisningsforløb i iværksætteri i form af et nyt valgfag i iværksætteri i samarbejde mellem uddannelsesinstitutioner med forskellige kompetencer og med erhvervsfremmemiljøer.
Projektet vil skabe følgende effekter i projektperioden:	Forbedre iværksætterkompetencerne hos 135 studerende 	Give formelle kompetencer til 135 studerende	Skabe 36 iværksættervirksomheder
På lang sigt vil projektet for de studerende skabe en meromsætning i deres iværksætter virksomheder på 9 mio. kr. om året, øge andelen af selvstændige til 10 %, og øge andelen der anser ansættelse i private virksomheder som en mulighed til 20 %. 
For at nå de ambitiøse mål udvikles og testes seks undervisningsforløb á 25 studerende fordelt på to lokationer. Som et led i faget, skal de studerende løse konkrete case opgaver, som er relateret til virksomheder. Desuden får de studerende i forløbet styrket deres forretningsforståelse og bliver introduceret til markedsføringsstrategier, økonomi, omsætnings- og likviditetsbudgetter mv. 
UC Lillebælt og UC Syd er omdrejningspunktet for videregående uddannelse af sundhedsmedarbejdere i Region Syddanmark og begge institutioner har omfattende forsknings- og udviklingsaktiviteter, som sikrer høj uddannelsesfaglighed. Desuden sikrer erhvervsfremmemiljøerne i Haderslev Erhvervsråd, at der tages udgangspunkt i virksomheds-cases. 
Resultaterne forankres i projektets partnere og deltagere. Valgfagsforløbet forankres hos professionshøjskolerne, der efter endt forløb kan foretage tilretninger med mulighed for fortsat at lade faget blive udbudt. 
";"S";"Syddanmark";"Denmark";"Professionshøjskolen University College Syddanmark";"Kongensgade 62";"6701";"Esbjerg";"";"";"Børge Koch,7266 5250,bfko@ucsyd.dk.
Børge Koch,7266 5250,bfko@ucsyd.dk";"Professionshøjskolen Lillebælt/University College Lillebælt.
Haderslev Handelsskole"
"Smart Energy til markedet";"03.03.2015";"31.08.2019";"1 Styrket innovation i SMVer.
Innovation og videndeling";"13.441.917";"6.720.958";"50%";"Styrket innovation i SMVer  Smart Energy til markedet Formål: Projektets formål er at skabe vækst og øget eksport blandt energiteknologivirksomheder ved at udvikle systemløsninger i tæt dialog med kunderne.Forventede effekter: Effekten forventes at blive 35 nye innovative virksomheder; en omsætning på 17,5 mio. kr. i projektperioden og 120 mio. kr. fem år efter projektet er afsluttet; en anslået øget eksport på 10,5 mio. kr. i projektperioden og 80 mio. kr. fem år efter projektet er afsluttet samt 20 nye jobs i projektperioden og 80 nye jobs fem år efter projektet er afsluttet.Aktiviteter: Udvikling af systemløsninger vil tage udgangspunkt i de energiudfordringer, som de energiforbrugende virksomheder i Green Tech Centers Energilaug står over for. Projektet forventer at afdække udfordringer fra ca. 24 virksomheder dækkende over de mest gængse typer af storenergikunder. Ud fra dette udvikles syv systemløsninger til energiforbrugende virksomheder, der på sigt kan eksporteres. Det gøres ved at afdække de potentielle kunders krav og ønsker til implementeringen af energieffektive løsninger. Herefter udvikles systemløsninger, der kan leve op til de potentielle kunders ønsker, incl. forretningsmodeller for systemløsningerne. Resultaterne beskrives og bliver tilgængelige på Green Tech Centers hjemmeside. Teknologileverandørerne er centrum for projektet og deltager i den største del af projektet med undtagelse af kundeanalysen.Yderligere oplysninger: Green Tech Center A/S er kontraktansvarlig partner. Syddansk Universitet, Professionshøjskolen VIA University College, TREFOR Energi A/S, CLEAN, Erhvervsakademiet Lillebælt og Convia ApS er økonomiske partnere i projektet. 
";"R";"Syddanmark";"Denmark";"Green Tech Center A/S";"Lysholt Allé 6";"7100";"Vejle";"";"";"Dorthe Bramsen Clausen,23325549,dbc@greentechcenter.dk";"Syddansk Universitet.
Vejle Kommune.
Professionshøjskolen VIA University College.
TREFOR Energi A/S.
CLEAN.
Erhvervsakademiet Lillebælt.
Convia ApS"
"OPI LDL";"02.12.2015";"31.08.2019";"1 Styrket innovation i SMVer.
Innovation og videndeling";"11.287.912";"5.643.956";"50%";"Offentlig-Privat Innovation (OPI) udbredes i stigende grad i Danmark, men nye forskningsresultater peger på, at OPI-partnerne er udfordret på samarbejdet og den innovationsproces, de gennemfører (Rådet for Offentlig Privat Samarbejde, 2015). De heterogene partneres værdier, arbejdsmåder og ønsker for samarbejdet vanskeliggør en fælles forståelse og vanskeliggør udviklingen af løsninger, der tilfredsstiller de brugerbehov, der findes i den offentlige sektor. Innovationssamarbejder mellem offentlige og private gennemføres ofte med henblik på at nytænke og udvikle offentlige velfærdsløsninger. Værdien i at sammenbringe offentlige og private aktører er netop at gøre brug af den diversitet af viden og kompetencer, som de forskellige partnere besidder. OPI LDL-projektet vil professionalisere OPI-projekter gennem et Living Design Lab (LDL), hvor projektledelse vil blive understøttet af design thinking (konsekevnt facilitering og brug af design metoder) dels for at hjælpe med at italesætte partnernes tavse viden og skabe fælles forståelse dels for at generere brugerindsigter via flere testmiljøer, der omsættes til værdifulde løsninger til gavn for både private og offentlige partnere. Living Design Lab vil fungere som test-site for 4 OPI projekter, hvor 36 ledelser og medarbejdere fra 12 SMV-virksomheder vil blive videnunderstøttet og vil modtage sparring der er tilpasset hver projekt. Konkret vil OPI LDL-projektet resultere i 4 raffinerede innovative velfærdsprototyper, der efterfølgende vil kunne bringes ind i OPI-puljen eller andre lignende initiativer med fokus på kommercialisering. Derved opnås en fuld OPI værdikæde, hvor processen understøttes fra mock up idé til kommercialiseret produkt. OPI LDL-projektets resultater vil kunne danne værdifuldt grundlag for OPI projekter nationalt, regionalt og kommunalt med dets særlige fokus på samskabelse og facilitering af tavs viden og forventningsafstemning partnerne imellem.
";"R";"Syddanmark";"Denmark";"Syddansk Universitet";"Universitetsparken 1";"6000";"Kolding";"";"";"Majbritt Evald,65501315,mre@sam.sdu.dk";"Fonden Business Kolding.
Billund Kommune.
Kolding Kommune"
"CLEAN GREEN PLAN";"02.12.2015";"31.05.2020";"3 Energi og ressourceeffektive SMVer.
Udvikle og genn.f. grønne forr.model";"47.075.000";"23.537.500";"50%";"Projektet CLEAN GREEN PLAN har som mål at forbedre energi- og ressourceeffektivitet i SMVer i Region Syddanmark ved at fremme små og mellemstore virksomheders innovation og indførelse af lavemissionsteknologier. Dette mål opnås igennem gennemførelse af en række aktiviteter, der tilsammen skal skabe det ønskede output i form af en grøn forretningsmodel for hver enkelt deltagende virksomhed. 
Målgruppen for projektet er afgrænset til fremstillingssektorerne: føde- og drikkevarer, metal og metalvareindustri, elektronik og elektroniske komponenter, maskiner og motorkøretøjer, gummi, plast og ikke-metalholdige mineralske produkter, møbler samt detailsektorerne: mindre supermarkeder, hoteller restauranter og forlystelsesparker. Afgrænsningen er sket så projektet inkluderer de sektorer med størst energiintensitet (andel af energikøb ift. bruttoværditilvækst), da det må formodes at de mest energiintensive sektorer har det største incitament for at investerer i ressoruce- og særligt energieffektivitet  med størst forøgelse af konkurrenceevne til følge. Projektet har opstillet en række aktiviteter, der tilsammen skal sikre, at projektet opnår den overordnede målsætning om at effektivisere de deltagende virksomheders energi- og ressourceforbrug. Aktiviteterne rummer tilsammen en grad af individuelle forløb såvel som kollektive. 
Aktiviteterne trækker tilsammen på den store ekspertise og netværk, CLEAN har inde for energiområdet. CLEAN har som ansøger påtaget sig operatørrollen, hvor både screeningen af virksomheder for at klarlægge kompetencer og motivation mv., og administrationen af selve projektet bliver varetaget. Hertil vælger virksomhederne selv rådgivere, der forestår udarbejdelse af konkrete, grønne forretningsplaner.Igennem projektet vil de deltagende virksomheder, Regionen og hele samfundet blive påvirket positivt af projektets resultater. 
Udviklingen af de grønne forretningsplaner vil medvirke til en stor samlet reduktion af energi- og materialeforbruget samt mindre udledning af drivhusgasser - til gavn for økonomien, miljøet og klimaet.
";"R";"Syddanmark";"Denmark";"CLEAN";"Hindsgavl Alle 2";"5500";"Middelfart";"";"";"Henrik Bjerregaard,+4531202231,heb@cleancluster.dk.
Lasse BorkSchmidt,4034 7745,lbs@cleancluster.dk";"Den Selvejende Institution TRE-FOR.
SYD ENERGI HOLDING A/S"
"Uddannelsesvejen til vækst";"01.04.2016";"31.03.2019";"4 Uddannelse.
Erhv.fagl.udd.(voksne) og vid.udd.";"34.326.291";"17.163.146";"50%";"Det primære mål med projektet ""Uddannelsesvejen til Vækst"" er at opkvalificere en gruppe af ufaglærte til faglært status. Der vil her være tale om såvel beskæftigede som ledige, men alle deltagere i projektet vil branchemæssigt have et klart arbejdsmarkedsbestemt ophæng, for at sikre en klar kobling mellem efterspørgslen på arbejdsmarkedet og de brancher som modtager fagligt opkvalificering via erhvervsfaglige uddannelsesløft. Projektets resultat vil være, at der opkvalificeres 420 personer fra ufaglært til faglært status. Som et særligt indsatsområde i projektet er der specifikt fokus på at afprøve EUV-modeller i forhold til 25-30 årige. En øget andel af faglærte skal understøtte en regional målsætning om at fastholde den vækst, der forventes at ske, herunder de kommende års store anlægsopgaver. Der satses branchemæssigt bredt i projektet; dog med et vist fokus på bygge- og anlægssektoren. Der visiteres 1600 deltagere til projektet, dels beskæftigede via regionale virksomheder, og dels ledige via de regionale jobcentre. Inden opstart på et erhvervsuddannelsesforløb gennemfører deltagerne et afklarings- og visiteringsforløb, som ruster dem i forhold til det efterfølgende uddannelsesforløb. Under erhvervsuddannelsesforløbet tilbydes deltagerne støtte efter behov via en personlig mentor.
";"S";"Sjælland";"Denmark";"Selandia Center for Erhvervsrettet Uddannelse";"Bredahlsgade 1B";"4200";"Slagelse";"647947.42";"6142201.89";"Poul Erik Andersen,58567004,pean@sceu.dk.
Michael Kaas-Andersen,58567001,mika@sceu.dk";"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster.
EUC Nordvestsjælland.
Handelsskolen København Nord.
Roskilde Tekniske skole"
"Compress";"11.03.2015";"31.08.2018";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"25.487.286";"12.737.286";"50%";"Projekt Compress har til formål at hjælpe op til 84 SMV´er indenfor fremstillingssektoren med at blive mere ressourceeffektive. Virkemidlerne er primært viden- og kompetenceudvikling, der skal sætte medarbejderne i stand til at omsætte deres kendskab til produktionsprocesser, råstoffer og halvfabrikata til effektiv anvendelse af ressourcerne, der også omfatter virksomhedens forbrug af energi og vand.
Viden- og kompetenceudviklingen varetages primært af de medvirkende erhvervsskoler og erhvervsakademier i samarbejde med de deltagende virksomheder og de øvrige partnere i projektet, der er landsdækkende med en bred partnerkreds bestående af skoler, erhvervsfremme, rådgivere, vidensinstitutioner og arbejdsmarkedets parter (brancheorganisationer). Regionerne indgår også i samarbejdet.
Kompetenceudviklingen spænder over et bredt indhold fra LEAN til projektledelse og fra materialekendskab til innovation. Uddannelsesaktiviteterne gennemføres på forskellig vis fra læring direkte i produktionen til traditionelle kurser med mellemliggende træning med eller uden e-læring. Hvad og hvordan kompetenceudviklingen sker fastlægges i det konkrete virksomhedsprojekt ud fra virksomhedens konkrete behov og muligheder.For at deltage skal en virksomhed vurderes som parat til at få udbytte af ressourceeffektivitetsindsatsen, der tilrettelægges som et konkret virksomhedsprojekt. Ligeledes skal en betydelig del af medarbejdergruppen deltage i kompetenceudviklingen, der også har fokus på aktiv medarbejderinddragelse.
Projektet er samvist med SFNP-15-0001
";"S";"National pulje";"Denmark";"TietgenSkolen";"Ejlskovsgade 3";"5000";"Odense C";"587743.59";"6140636.91";"Kim Tværgaard Larsen,,kila@tietgen.dk";"AARHUS TECH.
Den Selvejende Institution Køge Handelsskole og Handelsgymnasium.
Mercantec.
Erhvervsakademiet Lillebælt"
"Bæredygtig Bundlinje";"01.10.2015";"30.09.2018";"3 Energi og ressourceeffektive SMVer.
Udvikle og genn.f. grønne forr.model";"26.508.492";"13.254.246";"50%";"Bæredygtig Bundlinje  Grønne forretningsmodeller i 100 virksomheder
Projektets formålProjektet tager afsæt i regionens små- og mellemstore virksomheders behov for at gennemføre energi- og ressourceeffektiviseringer, som en del af deres fremadrettede konkurrence- og vækstpotentiale. En central udfordring er, at mange af virksomhederne ikke har kendskab til det uudnyttede potentiale i disse energi- og ressourceeffektiviseringer og ikke har ressourcer til at arbejde målrettet med grønne forretningsmodeller. I projektet udarbejdes grønne forretningsmodeller til minimum 100 små- og mellemstore virksomheder. Forretningsmodellerne vil være af høj faglig og strategisk kvalitet og skal være umiddelbart implementerbare. De udarbejdes i et tæt samarbejde mellem virksomhed, universitet, eksterne konsulenter og kommune. Forretningsmodellerne vil have effekt på effektivisering af de deltagende virksomheders ressource- og energiforbrug og give virksomhederne konkurrencefordele gennem besparelser i omkostnings, service- og produktionsled.
HovedaktiviteterProjektet sikrer udarbejdelsen af realiserbare grønne forretningsmodeller gennem fire hovedaktiviteter:
1. Udvælgelse, screening og rekruttering af virksomheder. Alle virksomheder i hovedstadsregionen kortlægges for at finde 1000 virksomheder, der kan være potentielle deltagere i projektet. Det sker ud fra en vurdering af potentialer for energi- og ressourcebesparelser, samt bæredygtighed og motivation for deltagelse. Herefter udarbejdes en proces for involvering og understøttelse af virksomhederne og der laves værktøjer og metoder til den konkrete rekruttering af virksomhederne. Så rekrutteres 100 virksomheder til projektet. 2. Udvikling af grønne forretningsmodeller. De enkelte virksomheder og virksomhedsnetværks behov og muligheder afdækkes i forbindelse med udarbejdelse af grønne forretningsmodeller. Så bliver virksomhederne tilført viden om mulige metoder, tekniske løsninger og processer, som de kan bruge i udviklingen af grønne forretningsmodeller. Virksomhederne/ virksomhedsnetværk lægger sig fast på, hvilken forretningsmodel de vil arbejde med. Konsulenter, der vil understøtte udarbejdelsen af den grønne forretningsmodel tilknyttes i de enkelte virksomheder/ virksomhedsnetværk. Resultatet er 100 grønne forretningsmodeller. Der vil være tilknyttet effektmåling og vidensopsamling bl.a. via Klimakompasset.3. Kommunikation. I hovedaktivitet 3 udarbejdes den kommunikation, der er nødvendig for at gennemføre projektet. Der vil blive lagt vægt på kommunikation, der understøtter rekrutteringen af virksomhederne, herunder informationskit og opstartsevent. Der vil også blive lavet netværksmøder med aktører, herunder virksomhederne, der deltager i projektet og kommuner på tværs af hovedstadsregionen.4. Projektledelse. Projektledelsen vil være ansvarlig for udarbejdelsen og styring af overordnet projektplan, facilitering af projektledergruppe, styre- og referencegruppe, samt dialog med Region Hovedstaden og Erhvervsstyrelsen. Projektledelsen er også ansvarlig for administration af de samlede budgetmidler og fortløbende monitorering af ressourceforbrug gennem projektets forløb. Endelig vil der tages hånd om den løbende opsamling og strukturering af resultater, effekter og erfaringer gennem projektets forløb.
";"R";"Hovedstaden";"Denmark";"Gate 21";"Vognporten 2";"2620";"Albertslund";"710816.35";"6172893.45";"Lone Kelstrup,4368 3427,lone.kelstrup@gate21.dk";"Københavns Kommune.
Aalborg Universitet.
Frederikssund Erhvervs- og Turistcenter.
Allerød Kommune"
"Compress Sjælland";"11.03.2015";"31.08.2018";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"4.500.074";"2.250.037";"50%";"Projekt Compress har til formål at hjælpe op til 15 SMV´er indenfor fremstillingssektoren med at blive mere ressourceeffektive. Virkemidlerne er primært viden- og kompetenceudvikling, der skal sætte medarbejderne i stand til at omsætte deres kendskab til produktionsprocesser, råstoffer og halvfabrikata til effektiv anvendelse af ressourcerne, der også omfatter virksomhedens forbrug af energi og vand.
Viden- og kompetenceudviklingen varetages primært af de medvirkende erhvervsskoler og erhvervsakademier i samarbejde med de deltagende virksomheder og de øvrige partnere i projektet, der er landsdækkende med en bred partnerkreds bestående af skoler, erhvervsfremme, rådgivere, vidensinstitutioner og arbejdsmarkedets parter (brancheorganisationer). Regionerne indgår også i samarbejdet.
Kompetenceudviklingen spænder over et bredt indhold fra LEAN til projektledelse og fra materialekendskab til innovation. Uddannelsesaktiviteterne kan gennemføres på forskellig vis fra læring direkte i produktionen til traditionelle skolekurser med mellemliggende træning med eller uden e-læring. Hvad og hvordan kompetenceudviklingen sker fastlægges i det konkrete virksomhedsprojekt ud fra virksomheden konkrete behov og muligheder.For at deltage skal en virksomhed vurderes som parat til at få udbytte af ressourceeffektivitetsindsatsen, der tilrettelægges som et konkret virksomhedsprojekt. Ligeledes skal en betydelig del af medarbejdergruppen deltage i kompetenceudviklingen, der også har fokus på aktiv medarbejderinddragelse.
Projektet er samvist med SFNP-15-0001
";"S";"National pulje";"Denmark";"TietgenSkolen";"Ejlskovsgade 3";"5000";"Odense C";"587743.59";"6140636.91";"Kim Tværgaard Larsen,,kila@tietgen.dk";"AARHUS TECH.
Den Selvejende Institution Køge Handelsskole og Handelsgymnasium.
Mercantec.
Erhvervsakademiet Lillebælt"
"Nordjyske NewBizz";"29.06.2015";"31.12.2018";"1 Iværksætteri og jobskabelse.
Iværksætteri";"44.983.156";"22.491.578";"50%";"Formålet med dette projekt er at give iværksætterne et grundlag for at udvikle deres virksomheder og dermed styrke deres evne til at overleve og skabe nye jobs.Projektet har endvidere til formål at fastholde og styrke den koordinerede indsats i Nordjylland samt supplere indsatsen med yderligere tiltag dels for at sikre, at der er et ensartet tilbud i hele Nordjylland uafhængig af kommunegrænser og dels for at sikre, at flere potentielle vækstiværksættere får udviklet deres virksomhed i denne retning. Samlet set skal dette lede frem til, at flere iværksættere er i stand til at indfri sit vækstpotentiale og udvikle sig til vækstiværksættere.
Projektets målgruppe består af iværksættere, der for nyligt har etableret eller står overfor at etablere egen virksomhed. De identificeres hovedsageligt via deres lokale erhvervskontor. Inden godkendelse til NewBizz projektet vil der blive lagt særligt vægt på iværksætterens eksisterende udgangspunkt samt det fremadrettede vækstpotentiale og dets skalerbarhed samt iværksætterens evne til at udløse dette. Godkendes en virksomhed til deltagelse i NewBizz programmet, vil programmets tilbud til den enkelte virksomhed variere proportionalt med dennes vækstpotentiale.
Projektet har tre hovedaktiviteter fordelt på tre faser og en camp light:Opstartsfasen, hvor iværksætterens vækstpotentiale identificeres.Etableringsfasen, hvor iværksætteren har en begrundet målsætning og motivation til at realisere én ansat ud over sig selv samt en mio. kr. om året i omsætning.Camp Light, hvor iværksættere med et klart markeds- og vækstpotentiale samles med henblik på at afklare og modne iværksætterens egne vækstambitioner.Skaleringsfasen, hvor iværksættere med et klart markeds- og vækstpotentiale får mulighed for at få tilknyttet en vækstguide, således iværksætteren kommer tættere på sit vækstpotentiale. Herefter modtager iværksætteren et tilsagn på op til kr. 15.000 til indkøb af ekstern rådgivning til at nå målet på milepælsplanen.
Forventede output og effekter:2.400 forbedrer deres iværksætterkompetencer80 % overlevelsesgrad 6 måneder efter deltagelse70 % overlevelsesgrad 2 år efter deltagelse
";"S";"Nordjylland";"Denmark";"Væksthus Nordjylland";"Niels Jernes Vej 10";"9220";"Aalborg Øst";"560016.186";"6319238.093";"Jane Ribergaard Holm,25 38 22 41,jrh@vhnordjylland.dk";""
